timestamp,item_id,demand
2011-01-01 00:00:00,casual,3.0
2011-01-01 00:00:00,registered,13.0
2011-01-01 01:00:00,casual,8.0
2011-01-01 01:00:00,registered,32.0
2011-01-01 02:00:00,casual,5.0
2011-01-01 02:00:00,registered,27.0
2011-01-01 03:00:00,casual,3.0
2011-01-01 03:00:00,registered,10.0
2011-01-01 04:00:00,casual,0.0
2011-01-01 04:00:00,registered,1.0
2011-01-01 05:00:00,casual,0.0
2011-01-01 05:00:00,registered,1.0
2011-01-01 06:00:00,casual,2.0
2011-01-01 06:00:00,registered,0.0
2011-01-01 07:00:00,casual,1.0
2011-01-01 07:00:00,registered,2.0
2011-01-01 08:00:00,casual,1.0
2011-01-01 08:00:00,registered,7.0
2011-01-01 09:00:00,casual,8.0
2011-01-01 09:00:00,registered,6.0
2011-01-01 10:00:00,casual,12.0
2011-01-01 10:00:00,registered,24.0
2011-01-01 11:00:00,casual,26.0
2011-01-01 11:00:00,registered,30.0
2011-01-01 12:00:00,casual,29.0
2011-01-01 12:00:00,registered,55.0
2011-01-01 13:00:00,casual,47.0
2011-01-01 13:00:00,registered,47.0
2011-01-01 14:00:00,casual,35.0
2011-01-01 14:00:00,registered,71.0
2011-01-01 15:00:00,casual,40.0
2011-01-01 15:00:00,registered,70.0
2011-01-01 16:00:00,casual,41.0
2011-01-01 16:00:00,registered,52.0
2011-01-01 17:00:00,casual,15.0
2011-01-01 17:00:00,registered,52.0
2011-01-01 18:00:00,casual,9.0
2011-01-01 18:00:00,registered,26.0
2011-01-01 19:00:00,casual,6.0
2011-01-01 19:00:00,registered,31.0
2011-01-01 20:00:00,casual,11.0
2011-01-01 20:00:00,registered,25.0
2011-01-01 21:00:00,casual,3.0
2011-01-01 21:00:00,registered,31.0
2011-01-01 22:00:00,casual,11.0
2011-01-01 22:00:00,registered,17.0
2011-01-01 23:00:00,casual,15.0
2011-01-01 23:00:00,registered,24.0
2011-01-02 00:00:00,casual,4.0
2011-01-02 00:00:00,registered,13.0
2011-01-02 01:00:00,casual,1.0
2011-01-02 01:00:00,registered,16.0
2011-01-02 02:00:00,casual,1.0
2011-01-02 02:00:00,registered,8.0
2011-01-02 03:00:00,casual,2.0
2011-01-02 03:00:00,registered,4.0
2011-01-02 04:00:00,casual,2.0
2011-01-02 04:00:00,registered,1.0
2011-01-02 05:00:00,casual,0.0
2011-01-02 05:00:00,registered,0.0
2011-01-02 06:00:00,casual,0.0
2011-01-02 06:00:00,registered,2.0
2011-01-02 07:00:00,casual,0.0
2011-01-02 07:00:00,registered,1.0
2011-01-02 08:00:00,casual,0.0
2011-01-02 08:00:00,registered,8.0
2011-01-02 09:00:00,casual,1.0
2011-01-02 09:00:00,registered,19.0
2011-01-02 10:00:00,casual,7.0
2011-01-02 10:00:00,registered,46.0
2011-01-02 11:00:00,casual,16.0
2011-01-02 11:00:00,registered,54.0
2011-01-02 12:00:00,casual,20.0
2011-01-02 12:00:00,registered,73.0
2011-01-02 13:00:00,casual,11.0
2011-01-02 13:00:00,registered,64.0
2011-01-02 14:00:00,casual,4.0
2011-01-02 14:00:00,registered,55.0
2011-01-02 15:00:00,casual,19.0
2011-01-02 15:00:00,registered,55.0
2011-01-02 16:00:00,casual,9.0
2011-01-02 16:00:00,registered,67.0
2011-01-02 17:00:00,casual,7.0
2011-01-02 17:00:00,registered,58.0
2011-01-02 18:00:00,casual,10.0
